res_9,Health Care Systems,Food Access Systems,Emergency Systems,Education Systems,Financial Systems,Public Transport,Green Spaces Systems,Food and beverages,Other Systems,gross_amenity_score
89197335a8fffff,,2,,,,,,1,1,2.1
8919733661bffff,1,2,,,,,,5,,3.8
891973adbabffff,1,,,,,,,1,,1.2
891973d707bffff,,,,,,,,4,,0.8
8919598886fffff,,,,,,,,2,1,0.5
8919728a587ffff,,,,,,,,,1,0.1
89182c12223ffff,,,,,,,,,1,0.1
89194adb537ffff,1,,,,,,,2,2,1.6
89195815cc7ffff,,,,,,,,,1,0.1
89182880b1bffff,,,,,,,,,1,0.1
8919423b603ffff,,,,,,,,,1,0.1
8919423b6bbffff,,,,,,,,,1,0.1
89194acc847ffff,,,,,,,,,1,0.1
8919518e83bffff,,,,,,,,,1,0.1
8919580c8d7ffff,,,,,,,,,1,0.1
89195565da7ffff,,,,,,,,,2,0.2
89195dad00fffff,,,,,,,,,1,0.1
891828b855bffff,1,,,,,,,,,1
89194041817ffff,1,,,,,,,,,1
89194ada1c7ffff,1,,,,,,,1,,1.2
89182e6a0d3ffff,,,,,,,,,1,0.1
891942c42cfffff,,,,,,,,,1,0.1
8919584e587ffff,,,,,,,,,2,0.2
89195198adbffff,1,,,,,,,1,,1.2
89195dbadbbffff,1,,,,,,,,1,1.1
89197335303ffff,1,,,,,,,,,1
891976296c7ffff,1,,,,,,,,1,1.1
89187471a1bffff,1,,,,,,,,,1
89195cc29dbffff,1,,,,,,,,,1
89195d24437ffff,1,,,,,,,,,1
891973358d7ffff,1,,,,,,,,,1
89195da4b67ffff,,,,,,,,2,1,0.5
891973d357bffff,,,,,,,,,1,0.1
89182e6c20fffff,1,2,,,,,,,,2.8
89187431ed7ffff,,1,,,,,,1,,1.1
891874accabffff,,1,,,,,,,,0.9
8919090412fffff,,1,,,,,,,,0.9
89190932dcbffff,,1,,,,,,1,,1.1
891909aead7ffff,,1,,,,,,2,,1.3
8919296c32bffff,,1,,,,,,,,0.9
891940726afffff,,4,,,,,,,1,3.7
891942433a7ffff,,1,,,,,,,,0.9
89194326997ffff,,1,,,,,,,,0.9
89194360c27ffff,,2,,,,,,,,1.8
891948c026fffff,,1,,,,,,,1,1
89194a103b3ffff,,1,,,,,,,,0.9
89194a72293ffff,,1,,1,,,,,1,1.8
89194a72537ffff,1,1,,,,,,,1,2
89194ad24a3ffff,,1,,,,,,,,0.9
89194ad31a3ffff,,1,,,,,,2,,1.3
89194ad3617ffff,,1,,,,,,,,0.9
89194adac6bffff,,1,,,,,,,,0.9
89194e2f513ffff,,2,,,,,,,,1.8
89194e65267ffff,,1,,,,,,,,0.9
89194e6d667ffff,,1,,,,,,1,1,1.2
8919518b34bffff,,1,,,,,,,,0.9
891951b408bffff,,1,,,,,,,,0.9
891951b5bbbffff,,1,,,,,,,,0.9
891953b6c6bffff,,1,,,,,,,,0.9
891955b4d3bffff,,1,,,,,,,,0.9
8919580c993ffff,,1,,,,,,,,0.9
89195839d03ffff,,1,,,,,,,,0.9
89195880923ffff,,1,,,,,,,1,1
8919588c06fffff,,1,,,,,,,1,1
89195912867ffff,,1,,,,,,1,1,1.2
891959a349bffff,1,1,,,,,,,,1.9
89195bc4517ffff,,1,,,,,,,,0.9
89195c0eba3ffff,,1,,,,,,,1,1
89195c14d33ffff,,1,,,,,,,,0.9
89195c64dd3ffff,,1,,,,,,,,0.9
89195c75b77ffff,,1,,,,,,,,0.9
89195cd024bffff,,1,,,,,,,,0.9
89195d284d7ffff,,2,,,,,,1,1,2.1
89195d2c5b7ffff,1,2,,,,,,,,2.8
89195d30883ffff,,1,,,,,,,,0.9
89195da4a73ffff,,2,,,,,,,,1.8
89195db5b37ffff,,1,,,,,,,,0.9
89197201427ffff,,2,,,,,,,1,1.9
8919727636bffff,,1,,,,,,,,0.9
89197337357ffff,1,1,,,,,,,,1.9
891973375b3ffff,,1,,1,,,,,1,1.8
89197388207ffff,,1,,,,,,1,2,1.3
891976bb25bffff,1,1,,,,,,2,,2.3
891805b4027ffff,,,,,,,,,1,0.1
89182c3a12fffff,,,,,,,,,1,0.1
8919432f423ffff,,,,,,,,,1,0.1
89195b73143ffff,,,,,,,,,1,0.1
89195d7b163ffff,,,,,,,,,1,0.1
89197276e17ffff,,,,,,,,1,1,0.3
8919587a287ffff,,,,1,,,,,,0.8
891972b9403ffff,,,,1,,,,,,0.8
89197322993ffff,,,,1,,,,,,0.8
891821cd63bffff,,1,,,,,,,,0.9
89194ac3303ffff,,,,1,,,,,,0.8
89194a0d2cfffff,,,,,,,2,1,2,1.96
89194a72577ffff,,,,,,,1,1,,0.98
89190d809b7ffff,,,,,,,,,1,0.1
891874acec3ffff,,,,,,,,1,1,0.3
891943bb24fffff,,,,,,,,,1,0.1
891948530a7ffff,,,,,,,,,1,0.1
891948533d3ffff,,,,,,,,,1,0.1
8919485b09bffff,,,,,,,,,1,0.1
89194e68a27ffff,,,,,,,,,1,0.1
89195910e33ffff,,,,,,,,,1,0.1
89195a11667ffff,,,,,,,,,1,0.1
89195c0ea23ffff,,,,,,,,,1,0.1
89195c3b683ffff,,,,,,,,,2,0.2
89195d8116bffff,,,,,,,,,1,0.1
89197290193ffff,,,,,,,,,2,0.2
8919731637bffff,1,,,,,,,,1,1.1
89197335a97ffff,,,,,,,,,1,0.1
8919557a217ffff,,,,,,,1,,,0.78
89194046a73ffff,1,,,,,,,,,1
89194ac5c37ffff,1,,,,,,,,,1
89194ace3d7ffff,1,,,,,,,,,1
89194e6a337ffff,1,,,,,,,,,1
89195837377ffff,1,,,,,,,,,1
8919597a10fffff,1,,,,,,,,,1
891959b44a3ffff,1,,,,,,,,,1
89195d422cfffff,1,,,,,,,,,1
89195dba097ffff,1,,,,,,,,,1
89197239347ffff,1,,,,,,,,,1
89197276ad3ffff,1,,,,,,,,1,1.1
8919422cb7bffff,,,,,,,,,1,0.1
89195d2ac07ffff,,,,,,,,,1,0.1
89182526e67ffff,,,,,,,,,1,0.1
891825b0b8bffff,,,,,,,,,1,0.1
891828c0023ffff,,,,,,,,,1,0.1
891875d1527ffff,,,,,,,,1,1,0.3
8919082d1afffff,,,,,,,,,1,0.1
89190e863afffff,,,,,,,,,1,0.1
8919292a867ffff,,,,,,,,,1,0.1
89194105d0fffff,,,,,,,,,1,0.1
891942ac3d7ffff,,,,,,,,,1,0.1
8919432637bffff,,,,,,,,,1,0.1
891948515cfffff,,,,,,,,,1,0.1
89194854443ffff,,,,,,,,,1,0.1
89194a4c503ffff,,,,,,,,,1,0.1
89194a4c8a3ffff,,,,,,,,2,1,0.5
89194a784dbffff,,,,,,,,,1,0.1
89194ac0147ffff,,,,,,,,,1,0.1
89194e81617ffff,,,,,,,,,1,0.1
89194e90d47ffff,,,,,,,,,1,0.1
89195115c0fffff,,,,,,,,,1,0.1
89195165d57ffff,,,,,,,,,1,0.1
8919520a0cfffff,,,,,,,,,1,0.1
891952468b7ffff,,,,,,,,,1,0.1
8919528d877ffff,,,,,,,,,1,0.1
891952d0063ffff,,,,,,,,,1,0.1
891952d6cbbffff,,,,,,,,,1,0.1
89195501527ffff,,,,,,,,,1,0.1
89195547173ffff,,,,,,,,,1,0.1
8919554b37bffff,,,,,,,,,1,0.1
89195842b83ffff,,,,,,,,,2,0.2
89195898027ffff,,,,,,,,,1,0.1
8919590c69bffff,,,,,,,,,1,0.1
89195912c0fffff,,,,,,,,,1,0.1
8919594d947ffff,,,,,,,,,1,0.1
8919597a313ffff,,,,,,,,,1,0.1
89195a1a34bffff,,,,,,,,,1,0.1
89195ab9623ffff,,,,,,,,,1,0.1
89195b6902bffff,,,,,,,,,1,0.1
89195b97333ffff,,,,,,,,,1,0.1
89195bab087ffff,,,,,,,,,1,0.1
89195c08187ffff,,,,,,,,,1,0.1
89195c0ca1bffff,,,,,,,,,1,0.1
89195c0e97bffff,,,,,,,,,1,0.1
89195c0ed33ffff,,,,,,,,,1,0.1
89195c3a67bffff,,,,,,,,,1,0.1
89195c4f617ffff,,,,,,,,,1,0.1
89195cad1d3ffff,,,,,,,,,1,0.1
89195cc2253ffff,,,,,,,,,1,0.1
89195d36177ffff,,,,,,,,,1,0.1
89195d86b43ffff,,,,,,,,,1,0.1
89195dc1453ffff,,,,,,,,,1,0.1
89195e1160bffff,,,,,,,,,1,0.1
89195ea5013ffff,,,,,,,,,1,0.1
8919733245bffff,,,,,,,,,1,0.1
89197335633ffff,,,,,,,,,1,0.1
89197608403ffff,,,,,,,,,1,0.1
89182a8ee33ffff,,,,,,,,1,,0.2
89182c17463ffff,,,,,,,,1,1,0.3
89182e2cd23ffff,,,,,,,,2,,0.4
891870d764fffff,,,,,,,,3,1,0.7
8919429050bffff,,,,,,,,1,,0.2
89194ad0d8fffff,,,,,,,,1,,0.2
89194ad14bbffff,,,,,,,,1,,0.2
89194ad310fffff,,,,,,,,4,,0.8
89194ec863bffff,,,,,,,,1,,0.2
891951b25d3ffff,,,,,,,,1,,0.2
89195520013ffff,,,,,,,,1,,0.2
8919584e3afffff,,,,,,,,1,,0.2
8919586b6dbffff,,,,,,,,1,,0.2
891959b364fffff,,,,,,,,1,,0.2
89195c875a3ffff,,,,,,,,1,,0.2
89195d2add7ffff,,,,,,,,2,,0.4
89195d2ca17ffff,,,,,,,,1,,0.2
89195d46693ffff,,,,,,,,1,,0.2
89195da68c3ffff,,,,,,,,1,,0.2
89195da6b33ffff,,,,,,,,1,,0.2
8919402a5c7ffff,,,,,,,,,2,0.2
8919542cab3ffff,,,,,,,,,1,0.1
89195da6cd7ffff,,,,,,,,,1,0.1
89197272237ffff,,,,,,,,,1,0.1
8918280d6a3ffff,,,,,,,,1,,0.2
89182a32213ffff,,,,,,,,1,,0.2
89182c0aac7ffff,,,,,,,,1,,0.2
89182c1012fffff,,,,,,,,1,,0.2
89190945d5bffff,,,,,,,,1,,0.2
89190dad31bffff,,,,,,,,1,,0.2
8919402c2a7ffff,,,,,,,,1,,0.2
8919413b41bffff,,,,,,,,1,,0.2
89194ad1093ffff,,,,,,,,2,,0.4
89194ad1e0bffff,,,,,,,,1,,0.2
89194e6b15bffff,,,,,,,,2,,0.4
89195475b1bffff,,,,,,,,1,,0.2
89195ab6667ffff,,,,,,,,1,,0.2
89197272a73ffff,,,,,,,,1,,0.2
891943d1c13ffff,,,,,,,,,1,0.1
89194214d43ffff,,,,,,,,,1,0.1
8919518c43bffff,,,,,,,,,1,0.1
89195c05b0fffff,,,,,,,,,1,0.1
89195c5b317ffff,,,,,,,,,1,0.1
891951d6d1bffff,,,,,,,,,1,0.1
89195d68edbffff,,,,,,,,,1,0.1
89194254897ffff,,,,,,,,,1,0.1
89194ad8407ffff,1,,,,,,,,,1
891951aad77ffff,1,,,,,,,,,1
89182c12927ffff,,,,,,,,4,1,0.9
891909af013ffff,,,,,1,,,1,,0.8
8919416c637ffff,,,,,1,,,,,0.6
89194a5181bffff,,1,,,1,,,,,1.5
89194ad9103ffff,,,,,1,,,2,,1
89195490157ffff,,1,,,3,,,5,1,3.8
89195871657ffff,,4,,,1,,,11,2,6.6
8919587a19bffff,,1,,,1,,,,,1.5
