res_9,Health Care Systems,Food Access Systems,Emergency Systems,Education Systems,Financial Systems,Public Transport,Green Spaces Systems,Food and beverages,Other Systems,gross_amenity_score
89194e41e2fffff,1,,,1,,,,,,1.8
8919510545bffff,1,,,,,,,,,1
89195b85083ffff,1,,,,,,,,,1
89195cd11abffff,1,,,,,,,1,,1.2
89197272c83ffff,1,,,,,,,,,1
89197276a9bffff,1,,,,,,,,,1
8919424f423ffff,1,,,,,,,,,1
89194a851cfffff,1,,,,,,,,,1
89195b7b453ffff,1,,,,,,,,,1
89195db2bafffff,1,,,,,,,,,1
89195e681cbffff,1,,,,,,,,,1
8919404055bffff,,,,,,,,,1,0.1
89182e5ac7bffff,,1,,,,,,,,0.9
89194231d97ffff,,1,,,,,,,,0.9
891942394c7ffff,,1,,,,,,,,0.9
89194248b6fffff,,1,,,,,,1,,1.1
891942b09d7ffff,,1,,,,,,,,0.9
891942ce8a7ffff,,1,,,,,,,,0.9
891943b5a1bffff,1,2,,,,,,,,2.8
8919464643bffff,,1,,,,,,3,,1.5
89194a19657ffff,,1,,,,,,,1,1
89194a906d7ffff,,1,,,,,,,,0.9
89194ac364bffff,,1,,,,,,,,0.9
89194ad70abffff,,1,,,,,,,,0.9
89194e286cbffff,,1,,,,,,,,0.9
89194e69c2fffff,,1,,,,,,,,0.9
89195180383ffff,,1,,,,,,,1,1
891951b633bffff,,1,,,,,,,,0.9
891951b6a63ffff,,1,,,,,,,,0.9
8919586b03bffff,,1,,,,,,,,0.9
8919597312fffff,,1,,,,,,,,0.9
891959b9977ffff,,1,,,,,,,,0.9
89195ab5573ffff,,1,,,,,,,,0.9
89195b446a7ffff,,1,,,,,,,,0.9
89195b731afffff,,1,,,,,,,1,1
89195c04ebbffff,,1,,,,,,,1,1
89195d2cd7bffff,1,1,,,,,,,,1.9
89195d3407bffff,,1,,,,,,2,,1.3
89195d59467ffff,,1,,,,,,,,0.9
89195dac9dbffff,,1,,,,,,,,0.9
8919723959bffff,,1,,,,,,,,0.9
89197324623ffff,,1,,,,,,,1,1
89197336357ffff,,1,,,,,,1,,1.1
891976a9397ffff,,1,,,,,,1,,1.1
89182e05cabffff,,,,1,,,,1,1,1.1
891909af3b7ffff,,,,,,,,,1,0.1
8919402c053ffff,,,,,,,,,1,0.1
8919407358bffff,,,,,,,,,1,0.1
89194acc873ffff,,,,,,,,,1,0.1
89195185643ffff,,,,,,,,,1,0.1
891951b75a3ffff,,,,,,,,,1,0.1
8919594480fffff,,,,,,,,,1,0.1
89195ca9a47ffff,,,,,,,,,1,0.1
89190924207ffff,,,,1,,,,,,0.8
891955d9d87ffff,,,,1,,,,,,0.8
89195a1ab13ffff,,,,1,,,,,,0.8
89195ab5507ffff,,,,1,,,,,,0.8
89195ab6a93ffff,,,,1,,,,,,0.8
89195bc31afffff,,,,1,,,,,,0.8
89195caa027ffff,,,,1,,,,1,,1
89195da5d6fffff,,,,1,,,,,,0.8
89195dd6e5bffff,,,,1,,,,,,0.8
89195e69ad3ffff,,,,1,,,,,,0.8
891940c882fffff,,1,,,,,,,,0.9
89195978937ffff,,1,,,,,,,,0.9
89194a0d247ffff,,,,,,,5,1,1,4.2
89194a72097ffff,,,,,,,1,,,0.78
89195c39873ffff,,,,,,,,,1,0.1
89194840167ffff,,,,,,,,,1,0.1
89194ada67bffff,,,,,,,,,2,0.2
89195509857ffff,,,,,,,,,1,0.1
89195da583bffff,,,,,,,,,2,0.2
8919013a877ffff,,,,,,,1,,,0.78
891942cc42bffff,1,,,,,,,,,1
89194e08923ffff,1,,,,,,,,,1
89194e61b0fffff,1,,,,,,,,,1
8919580c99bffff,1,,,,,,,,,1
891958876c7ffff,1,,,,,,,1,,1.2
89195c0750fffff,1,,,,,,,,1,1.1
89195cc0a83ffff,1,,,,,,,,,1
89195d70a57ffff,1,,,,,,,,,1
89195dba683ffff,1,,,,,,,,,1
8919721ab37ffff,1,,,,,,,,,1
8919723a037ffff,1,,,,,,,,,1
8919732c05bffff,1,,,,,,,,,1
891952cd02bffff,,,,,,,,,1,0.1
891943c45c3ffff,,,,,,,,,1,0.1
89195cb73c7ffff,,,,,,,,,1,0.1
89182a056cbffff,,,,,,,,,1,0.1
89182a05a1bffff,1,,,,,,,1,1,1.3
89182d268dbffff,,,,,,,,,1,0.1
891874323b7ffff,,,,,,,,,1,0.1
8918748323bffff,,,,,,,,,1,0.1
891909a893bffff,,,,,,,,,1,0.1
89190b3464bffff,,,,,,,,1,1,0.3
891941350dbffff,,,,,,,,,1,0.1
89194204b17ffff,,,,,,,,,1,0.1
89194205413ffff,,,,,,,,,1,0.1
891942074cfffff,,,,,,,,,1,0.1
8919420c4b3ffff,,,,,,,,,1,0.1
8919423862bffff,,,,,,,,,1,0.1
89194238c7bffff,,,,,,,,,1,0.1
8919429962bffff,,,,,,,,,1,0.1
891942a61d7ffff,,,,,,,,,1,0.1
891943363bbffff,,,,,,,,,1,0.1
8919435b143ffff,,,,,,,,,1,0.1
891943b93dbffff,,,,,,,,,1,0.1
891946c9667ffff,,,,,,,,,1,0.1
891946cb63bffff,,,,,,,,,1,0.1
891948c99b3ffff,,,,,,,,,1,0.1
89194a00dc3ffff,,,,,,,,,1,0.1
89194a79687ffff,,,,,,,,,1,0.1
89194ad11afffff,,,,,,,,1,1,0.3
89194e0319bffff,,,,,,,,,1,0.1
89194e6d253ffff,,,,,,,,,1,0.1
89194e8a8c7ffff,,,,,,,,,1,0.1
89194ed8893ffff,,,,,,,,,1,0.1
8919510eb33ffff,,,,,,,,,1,0.1
89195110143ffff,,,,,,,,,1,0.1
891951aa9d3ffff,,,,,,,,,1,0.1
891951bb17bffff,,,,,,,,,1,0.1
891952912c3ffff,,,,,,,,,1,0.1
891952994b3ffff,,,,,,,,,1,0.1
8919529aaa7ffff,,,,,,,,,1,0.1
891953ae013ffff,,,,,,,,,1,0.1
89195520da7ffff,,,,,,,,,1,0.1
8919556ac73ffff,,,,,,,,,1,0.1
8919557729bffff,,,,,,,,,1,0.1
891955d8557ffff,,,,,,,,,1,0.1
891958036dbffff,,,,,,,,,1,0.1
89195825d9bffff,,,,,,,,,1,0.1
89195845d53ffff,,,,,,,,,1,0.1
8919586ed6bffff,,,,,,,,,1,0.1
89195899417ffff,,,,,,,,,1,0.1
891958a5b67ffff,,,,,,,,,1,0.1
89195931c77ffff,,,,,,,,,1,0.1
89195933573ffff,,,,,,,,,1,0.1
891959b4697ffff,,,,,,,,,1,0.1
89195a85153ffff,,,,,,,,,1,0.1
89195ac201bffff,,,,,,,,,1,0.1
89195ba1277ffff,,,,,,,,,1,0.1
89195ba2cd7ffff,,,,,,,,,1,0.1
89195bb4503ffff,,,,,,,,,1,0.1
89195c06677ffff,,,,,,,,,1,0.1
89195c0e2cbffff,,,,,,,,,1,0.1
89195c3135bffff,,,,,,,,,1,0.1
89195c3adcfffff,,,,,,,,,1,0.1
89195c42b3bffff,,,,,,,,,1,0.1
89195c7502fffff,,,,,,,,2,1,0.5
89195ca1eabffff,,,,,,,,,1,0.1
89195caa58fffff,,,,,,,,,1,0.1
89195cac297ffff,,,,,,,,,1,0.1
89195d0d457ffff,,,,,,,,,1,0.1
89195dd9e07ffff,,,,,,,,,1,0.1
8918203008bffff,,,,,,,,1,,0.2
89194a505cfffff,,,,,,,,1,,0.2
89194ad102bffff,,,,,,,,2,,0.4
89194ad1063ffff,,,,,,,,1,,0.2
89194ad2313ffff,,,,,,,,1,,0.2
89194adb063ffff,,,,,,,,1,,0.2
89194e490b3ffff,,,,,,,,1,,0.2
8919518656fffff,,,,,,,,2,,0.4
8919580abbbffff,,,,,,,,1,,0.2
8919580f23bffff,,,,,,,,1,,0.2
8919584000fffff,,,,,,,,1,,0.2
8919587154fffff,,,,,,,,1,,0.2
89195a4b37bffff,,,,,,,,1,,0.2
89195a86a53ffff,,,,,,,,1,,0.2
89195ab9cc3ffff,,,,,,,,1,,0.2
89195b4e94fffff,,,,,,,,1,,0.2
89195c08837ffff,,,,,,,,1,,0.2
89195d0756bffff,,,,,,,,1,,0.2
8919720cba7ffff,,,,,,,,2,,0.4
891958309b7ffff,,,,,,,,1,,0.2
891958c150bffff,,,,,,,,1,,0.2
891874accd7ffff,,,,,,,,,1,0.1
89195586b83ffff,,,,,,,,,1,0.1
8919588b007ffff,,,,,,,,,2,0.2
89195ba080bffff,,,,,,,,,1,0.1
89195ba081bffff,,,,,,,,,1,0.1
89195d28623ffff,,,,,,,,,1,0.1
89195da6c4bffff,,,,,,,,,5,0.5
8919726ab93ffff,,,,,,,,,1,0.1
8918058343bffff,,,,,,,,1,,0.2
89182a3a2b3ffff,,,,,,,,1,,0.2
89182d2f357ffff,,,,,,,,1,,0.2
8918743ab83ffff,,,,,,,,1,,0.2
891942c1983ffff,,,,,,,,1,,0.2
89194a9331bffff,,,,,,,,1,,0.2
89194ad09abffff,,,,,,,,1,,0.2
89194ad1627ffff,,,,,,,,1,,0.2
89194ad8cb7ffff,,,,,,,,1,,0.2
89194adad0bffff,,,,,,,,2,,0.4
89195104117ffff,,,,,,,,1,,0.2
89195183013ffff,,,,,,,,1,,0.2
8919518eb23ffff,,,,,,,,1,,0.2
891952d1823ffff,,,,,,,,1,,0.2
89195816c63ffff,,,,,,,,1,,0.2
8919582303bffff,,,,,,,,1,,0.2
89195bd8adbffff,,,,,,,,1,,0.2
89195da62d3ffff,,,,,,,,1,,0.2
89195dd1dabffff,,,,,,,,1,,0.2
89197201597ffff,,,,,,,,1,,0.2
8919728b117ffff,,,,,,,,1,,0.2
8919728f173ffff,,,,,,,,1,,0.2
891972cc113ffff,,,,,,,,,1,0.1
8919094554bffff,,,,,,,,,1,0.1
891976d5bafffff,,,,,,,,,1,0.1
891909c9ccbffff,,,,,,,,,1,0.1
891948474dbffff,,,,,,,,,3,0.3
891959a9cafffff,,,,,,,,,1,0.1
89195a162d3ffff,,,,,,,,,1,0.1
89195b6f38bffff,,,,,,,,,1,0.1
89195c76687ffff,,,,,,,,,1,0.1
89195e575cbffff,,,,,,,,,1,0.1
891958a7617ffff,1,,,,,,,,,1
89182a658a3ffff,1,,,,1,,,,1,1.7
89194ad047bffff,,1,,,1,,,2,2,2.1
89194ada3bbffff,,,,,1,,,,,0.6
891951062afffff,,,,,2,,,,,1.2
891958656b7ffff,,,,,1,,,,,0.6
891959108abffff,,,,,1,,,,1,0.7
8919597336fffff,1,,,,1,,,,1,1.7
891959aa40bffff,,3,,,1,,,,1,3.4
891959ba3d7ffff,,,,1,1,,,,,1.4
891959ba637ffff,,,,,1,,,,1,0.7
89195b85093ffff,,,,,4,,,1,,2.6
89195c34153ffff,1,,,,1,,,,,1.6
891973352cbffff,1,3,,,2,,,7,,6.3
89197337127ffff,,,,,1,,,,,0.6
89182a561cfffff,,1,,,1,,,,,1.5
891909ac52bffff,,,,,1,,,,1,0.7
89194146477ffff,,,,,1,,,,1,0.7
891943472afffff,,,,,1,,,,,0.6
8919464e66bffff,,,,,1,,,,,0.6
891946cd96bffff,1,,,,4,,,,1,3.5
89194ad058fffff,2,2,,1,2,,,4,,6.6
89194ad301bffff,,2,,,2,,,5,,4
89194ad32cbffff,,1,,,1,,,9,,3.3
89195195d23ffff,,1,,,2,,,1,,2.3
891954da19bffff,,,,,1,,,,,0.6
8919582e563ffff,,,,,1,,,1,,0.8
89195844b37ffff,,1,,,1,,,2,1,2
89195b4442fffff,1,2,,1,4,,,7,,7.4
89195c0c893ffff,1,,,,1,,,,,1.6
89195d70663ffff,1,,,,2,,,1,,2.4
89197238617ffff,2,,,1,1,,,2,,3.8
89197322d03ffff,1,1,,,1,,,,3,2.8
8919413b163ffff,,,,,,,,2,,0.4
8919420c827ffff,,,,,,,,2,,0.4
89194a7258fffff,,,,,,,,1,1,0.3
89194ad11d7ffff,,,,,,,,3,,0.6
89194ad1e1bffff,,,,,,,,1,,0.2
89194e69973ffff,,,,,,,,2,,0.4
89195942c47ffff,,,,,,,,1,,0.2
89194a7200fffff,,,,,,,3,,1,2.44
89195da682fffff,,,,,,,1,,,0.78
891805b1503ffff,,,,,,,,1,2,0.4
89195930417ffff,,,,,,,,,1,0.1
89194ad04c7ffff,,,,,,,,,1,0.1
89194ada08fffff,,,,,,,,,1,0.1
89194adb3bbffff,,1,,,,,,,1,1
89194e6908fffff,1,,,,1,,,,,1.6
89194accccfffff,,,,,,1,,,,0.75
89182350bd7ffff,,,,,,,,1,,0.2
89182a3168bffff,,,,,,,,1,,0.2
89182aa710fffff,,,,,,,,3,,0.6
89182c89893ffff,,,,,,,,1,,0.2
89182c8d387ffff,1,,,,,,,1,,1.2
891870d0833ffff,,,,,,,,1,,0.2
89187460ac3ffff,,,,,,,,1,,0.2
891909bac43ffff,,,,,,,,1,,0.2
89190b33383ffff,,,,,,,,1,1,0.3
89190b9aa67ffff,,,,,,,,1,,0.2
89190d8ee6fffff,,,,,,,,1,,0.2
89194210693ffff,,,,,,,,1,,0.2
89194248c63ffff,,,,,,,,1,,0.2
8919424a477ffff,,,,,,,,1,,0.2
8919424cb07ffff,,,,,,,,1,,0.2
8919426a613ffff,1,1,,,,,,3,,2.5
891942cddabffff,,2,,,,,,1,,2
8919435829bffff,1,,,,,,,1,,1.2
891943d1cbbffff,,,,,,,,2,,0.4
8919465a467ffff,,,,,,,,1,,0.2
891946c8e5bffff,,,,,,,,1,,0.2
8919484a39bffff,,,,,,,,1,,0.2
891948c1823ffff,1,,,,,,,1,,1.2
89194a795cbffff,,,,,,,,1,,0.2
89194ab99d3ffff,,,,,,,,1,,0.2
89194ad0d17ffff,,,,,,,,2,1,0.5
89194ad11c7ffff,,,,1,,,,3,,1.4
89194ad2373ffff,,,,,,,,5,,1
89194ad355bffff,,,,,,,,1,,0.2
89194ad9e0bffff,,,,,,,,1,,0.2
89194e0d54fffff,2,2,,,,,,1,,4
89194e49333ffff,,,,,,,,1,,0.2
89194e69863ffff,1,1,,,,,,1,1,2.2
89194e69b67ffff,,,,,,,,2,1,0.5
89194e6d0c7ffff,,,,,,,,1,,0.2
89194e8258fffff,,,,,,,,1,,0.2
89194e99423ffff,,,,,,,,1,1,0.3
89194ec9233ffff,,,,,,,,2,,0.4
89194ec9a27ffff,,3,,,,,,5,,3.7
89194ed4527ffff,,,,,,,,2,,0.4
891951105dbffff,1,,,,,,,1,,1.2
891951b7197ffff,,1,,,,,,2,,1.3
891952d6ac7ffff,,1,,,,,,5,,1.9
891955c731bffff,,,,,,,,1,,0.2
89195804a43ffff,,,,,,,,2,,0.4
8919584433bffff,,1,,,,,,2,5,1.8
89195866643ffff,,,,,,,,1,1,0.3
891958714cbffff,,,,,,,,2,,0.4
89195885633ffff,,,,,,,,1,,0.2
89195930317ffff,,,,,,,,3,,0.6
89195988b83ffff,,1,,,,,,3,1,1.6
891959b4627ffff,,,,,,,,6,1,1.3
891959b9d0fffff,1,4,,,,,,2,,5
89195a91e77ffff,,,,2,,,,1,,1.8
89195b1891bffff,,2,,,,,,7,,3.2
89195b44403ffff,,,,,,,,1,,0.2
89195b4694bffff,,,,,,,,1,1,0.3
89195c170bbffff,,,,,,,,1,,0.2
89195c4a98bffff,,,,,,,,1,,0.2
89195c64bc3ffff,,,,,,,,1,,0.2
89195c8ee7bffff,,,,,,,,3,,0.6
89195cadc03ffff,,,,,,,,1,,0.2
89195cb63b7ffff,,,,,,,,1,,0.2
89195d34d8fffff,,,,,,,,1,,0.2
89195d3936fffff,,,,,,,,1,,0.2
89195d4f113ffff,,,,,,,,1,,0.2
89195d88e0bffff,,,,,,,,1,,0.2
89195da352fffff,,2,,,,,,3,1,2.5
89195da6a7bffff,,,,,,,,4,,0.8
89195da6d67ffff,,,,,,,,1,,0.2
89195dac1c7ffff,,,,,,,,1,,0.2
89195db4b93ffff,,,,,,,,1,,0.2
89195db9693ffff,,,,,,,,1,,0.2
8919724dc53ffff,,,,,,,,2,,0.4
8919724f257ffff,,,,1,,,,2,,1.2
8919727638fffff,1,2,,,,,,3,1,3.5
891972835c7ffff,,1,,,,,,2,,1.3
89197334597ffff,,,,,,,,1,,0.2
8919760052fffff,,,,,,,,1,,0.2
89182c16e87ffff,,,,,,,,,1,0.1
89182c1761bffff,,,,,,,,,1,0.1
8919435b2a3ffff,,1,,,,,,,1,1
8919556712bffff,,1,,,,,,,1,1
89195b40d43ffff,,,,,,,,,1,0.1
89182a3a5cbffff,1,,,,,,,,1,1.1
8919410cd23ffff,,,,,,,,,3,0.3
8919432634fffff,,,,,,,,,2,0.2
8919465a407ffff,,,,,,,,,1,0.1
89194a90047ffff,1,,,,,,,,1,1.1
89194ad96cbffff,,,,,,,,,2,0.2
89194e8424bffff,,,,,,,,,1,0.1
891951b0ba3ffff,,,,,,,,,1,0.1
89195531ab7ffff,,,,,,,,,1,0.1
891955a1abbffff,,,,,,,,,1,0.1
89195da5933ffff,,,,,,,,,1,0.1
89182a0e9bbffff,,,,,,,,,1,0.1
89194accb2fffff,1,1,,,,,,,1,2
89182504533ffff,,,,,,,,,4,0.4
891909ac127ffff,,,,1,,,,,1,0.9
89195879d4fffff,,,,,,,,,1,0.1
89195566287ffff,,,,,,,,,1,0.1
89180194483ffff,1,,,,,,,1,,1.2
89182c163b7ffff,1,,,,,,,,,1
891909ae873ffff,3,,,,,,,,,3
89194254957ffff,3,3,,,,,,,1,5.8
89194a17637ffff,1,,,,,,,,,1
89194ac0447ffff,1,,,,,,,,,1
89194e7b037ffff,1,1,,,,,,1,1,2.2
891955d8e93ffff,1,2,,,,,,3,,3.4
89195a52ca3ffff,1,,,,,,,,,1
89197276103ffff,1,,,,,,,1,,1.2
89182c1739bffff,2,,,1,,,,3,,3.4
89194349b03ffff,1,,,,,,,,,1
8919581630bffff,1,1,,,,,,,1,2
8919584c48bffff,1,,,,,,,,,1
891976bb27bffff,1,,,,,,,,,1
8909a470823ffff,,1,,,,,,1,,1.1
89182585957ffff,,1,,,,,,,,0.9
891828d0657ffff,,1,,,,,,,,0.9
891874015a7ffff,,1,,,,,,,,0.9
8919090718bffff,1,2,,,,,,2,,3.2
8919407308fffff,1,1,,,,,,,1,2
89194105a67ffff,1,1,,,,,,,,1.9
8919427848bffff,,1,,,,,,,,0.9
891942832d7ffff,,1,,,,,,,1,1
891942c414bffff,,1,,,,,,2,,1.3
891942cab93ffff,,1,,,,,,,,0.9
891942ce86bffff,,1,,,,,,,,0.9
8919433a663ffff,,1,,,,,,1,,1.1
891943450b3ffff,,1,,,,,,,,0.9
89194348bcfffff,,2,,,,,,1,1,2.1
89194349d2fffff,,1,,,,,,,1,1
8919436cb57ffff,,1,,,,,,,,0.9
89194a56433ffff,,1,,,,,,,1,1
89194a72003ffff,,1,,,,,,1,,1.1
89194a7241bffff,,1,,,,,,,,0.9
89194a931a3ffff,,1,,,,,,,,0.9
89194ad048bffff,1,1,,,,,,,,1.9
89194ad0507ffff,,2,,,,,,1,1,2.1
89194ad8acfffff,,1,,,,,,,,0.9
89194adb077ffff,1,2,,,,,,1,,3
89194e2e647ffff,1,1,,,,,,,1,2
89194e49903ffff,,1,,,,,,,,0.9
89194e69063ffff,,1,,,,,,,,0.9
89194e75d97ffff,,1,,,,,,,,0.9
89194ec9a3bffff,,1,,,,,,,,0.9
891951b4c67ffff,,1,,,,,,,,0.9
891953ad89bffff,,1,,,,,,,,0.9
89195564077ffff,,1,,,,,,,,0.9
8919582429bffff,,1,,,,,,,,0.9
89195841e3bffff,,2,,,,,,1,2,2.2
8919588c063ffff,,1,,,,,,1,,1.1
891959091cbffff,,1,,,,,,1,,1.1
891959aa69bffff,,1,,,,,,,,0.9
891959ab24bffff,,1,,,,,,,,0.9
89195c046dbffff,,2,,,,,,,,1.8
89195c3910fffff,,1,,,,,,1,1,1.2
89195c4629bffff,,1,,,,,,,,0.9
89195c8831bffff,,2,,,,,,,,1.8
89195c96163ffff,,1,,,,,,,2,1.1
89195d04b1bffff,1,1,,,,,,,,1.9
89195d09933ffff,,2,,,,,,1,,2
89195d7358bffff,1,1,,,,,,,1,2
89195ec36a7ffff,,1,,,,,,,,0.9
8919720cb1bffff,,1,,,,,,,,0.9
89197330993ffff,,1,,,,,,,,0.9
89197664bd3ffff,,1,,,,,,,,0.9
89190e8cd07ffff,,,,,,,,,1,0.1
8919424cba7ffff,,,,,,,,,1,0.1
8919424e64bffff,,,,,,,,,1,0.1
8919588c34fffff,,,,,,,,,1,0.1
89195ab26d3ffff,,,,,,,,,1,0.1
89195c17187ffff,,,,,,,,,1,0.1
89195c8097bffff,,,,,,,,,2,0.2
89195d14353ffff,,,,,,,,,1,0.1
89195d45317ffff,,,,,,,,,1,0.1
8919586b69bffff,,,,1,,,,,,0.8
89195917003ffff,,,,1,,,,,,0.8
891943b5a03ffff,,,,1,,,,,,0.8
89194aa86a7ffff,,,,1,,,,,1,0.9
89195dac427ffff,,,,1,,,,2,,1.2
89195e942c7ffff,,1,,,,,,,,0.9
89194a0d233ffff,,,,,,,4,,,3.12
891946cb35bffff,,,,,,,,,1,0.1
89195832d03ffff,,,,,,,,,1,0.1
89182cab68fffff,,,,,,,,,1,0.1
89194241d77ffff,,,,,,,,,1,0.1
891951d4913ffff,,,,,,,,,2,0.2
89195bc6e43ffff,,,,,,,,,1,0.1
89197215233ffff,,,,,,,,,2,0.2
891953ad547ffff,,,,,,,1,,,0.78
89195c1a2a7ffff,1,,,,,,2,,,2.56
89182c16657ffff,2,,,,,,,,,2
89194042a03ffff,1,,,,,,,,,1
89194e6cad3ffff,1,,,,,,,,1,1.1
8919518656bffff,1,,,,,,,,,1
891951b9027ffff,1,,,,,,,,,1
89195406873ffff,1,,,,,,,,,1
8919585503bffff,1,,,,,,,,,1
89195a1092fffff,1,,,,,,,,,1
89195ccb2b7ffff,2,,,,,,,1,,2.2
89195d702c3ffff,1,,,,,,,,,1
89195d70803ffff,1,,,,,,,,,1
8919727503bffff,1,,,,,,,,,1
891942c5d0fffff,,,,,,,,,1,0.1
89194e696bbffff,,,,,,,,,1,0.1
89182181acfffff,,,,,,,,,1,0.1
89182532e4bffff,,,,,,,,,1,0.1
891825a6277ffff,,,,,,,,,1,0.1
8918743ae87ffff,,,,,,,,,1,0.1
8918746a857ffff,,,,,,,,,1,0.1
8918746c02bffff,,,,,,,,,1,0.1
8918746c84fffff,,,,,,,,,1,0.1
89187475e2fffff,,,,,,,,,1,0.1
891874aa827ffff,,,,,,,,,1,0.1
891874af017ffff,,,,,,,,,1,0.1
891875d0123ffff,,,,,,,,,1,0.1
89194040353ffff,,,,,,,,,1,0.1
8919404ae27ffff,,,,,,,,,1,0.1
89194108913ffff,,,,,,,,,1,0.1
891941760d3ffff,,,,,,,,,1,0.1
89194202927ffff,,,,,,,,,1,0.1
89194205d4bffff,,,,,,,,,1,0.1
891942090cfffff,,,,,,,,,1,0.1
89194218dabffff,,,,,,,,,1,0.1
8919422a247ffff,,,,,,,,,1,0.1
8919422c29bffff,,,,,,,,,1,0.1
891942764dbffff,,,,,,,,,1,0.1
891942a949bffff,,,,,,,,,1,0.1
891942c505bffff,,,,,,,,,1,0.1
89194622893ffff,,,,,,,,,1,0.1
89194852117ffff,,,,,,,,,1,0.1
891948c9eb3ffff,,,,,,,,,1,0.1
89194ad92c3ffff,,,,,,,,,1,0.1
89194e6dcd3ffff,,,,,,,,,1,0.1
89194e6de6bffff,,,,,,,,,1,0.1
89194e9ac2fffff,,,,,,,,,1,0.1
89194ec9e8fffff,,,,,,,,,1,0.1
89194ecc973ffff,,,,,,,,,1,0.1
891951803cbffff,,,,,,,,,1,0.1
891951aa24bffff,,,,,,,,,1,0.1
89195246143ffff,,,,,,,,,1,0.1
891952714d7ffff,,,,,,,,,1,0.1
8919528ec4fffff,,,,,,,,1,1,0.3
891952d44b3ffff,,,,,,,,,1,0.1
8919543253bffff,,,,,,,,,1,0.1
891955606c7ffff,,,,,,,,,1,0.1
8919566ed0bffff,,,,,,,,,1,0.1
8919581706fffff,,,,,,,,,2,0.2
89195839453ffff,,,,,,,,,1,0.1
8919598cbdbffff,,,,,,,,,1,0.1
89195c0c6b3ffff,,,,,,,,,1,0.1
89195c16303ffff,,,,,,,,,1,0.1
89195c394dbffff,,,,,,,,,1,0.1
89195c3a307ffff,,,,,,,,,1,0.1
89195e6d827ffff,,,,,,,,,1,0.1
89195eb5817ffff,,,,,,,,,1,0.1
8919732581bffff,,,,,,,,,1,0.1
891973348afffff,,,,,,,,,1,0.1
8919768d99bffff,,,,,,,,,1,0.1
891874a302fffff,,,,,,,,1,,0.2
891874aceb7ffff,,,,,,,,1,,0.2
891909ac437ffff,,,,,,,,1,,0.2
891940731d3ffff,,,,,,,,1,,0.2
89194229983ffff,,,,,,,,1,,0.2
8919434d69bffff,,,,,,,,1,,0.2
89194a89803ffff,,,,,,,,1,,0.2
89194aca6a3ffff,,,,,,,,1,,0.2
89194e14417ffff,,,,,,,,1,,0.2
89194e4b227ffff,,,,,,,,1,,0.2
89194e873a7ffff,,,,,,,,1,,0.2
89195139ab7ffff,,,,,,,,1,,0.2
891951b4c0fffff,,,,,,,,1,,0.2
891951d4d23ffff,,,,,,,,1,1,0.3
89195878187ffff,,,,,,,,1,,0.2
8919587a62fffff,,,,,,,,1,,0.2
891958adad7ffff,,,,,,,,1,,0.2
8919599a417ffff,,,,,,,,1,,0.2
89195a412d3ffff,,,,,,,,1,,0.2
89195aa50d7ffff,,,,,,,,2,,0.4
89195c0767bffff,,,,,,,,1,,0.2
89195c0cc67ffff,,,,,,,,1,,0.2
89195ca636bffff,,,,,,,,1,,0.2
89195cc0c1bffff,,,,,,,,1,,0.2
89195d71867ffff,,,,,,,,1,,0.2
89195da1877ffff,,,,,,,,1,,0.2
89195da686fffff,,,,,,,,2,,0.4
8919724c34fffff,,,,,,,,1,,0.2
891941729c7ffff,,,,,,,,1,,0.2
891942ce3b3ffff,,,,,,,,1,,0.2
89197270d17ffff,,,,,,,,1,,0.2
89182355ca3ffff,,,,,,,,,1,0.1
89194e0e9cbffff,,,,,,,,,1,0.1
89195107603ffff,,,,,,,,,1,0.1
89195b46b17ffff,,,,,,,,,1,0.1
89182c1719bffff,,,,,,,,1,,0.2
89182c8da0fffff,,,,,,,,1,,0.2
89182c8e213ffff,,,,,,,,1,,0.2
89190b323cbffff,,,,,,,,1,,0.2
89194051a6fffff,,,,,,,,1,,0.2
89194ad1023ffff,,,,,,,,1,,0.2
89194ad22b7ffff,,,,,,,,1,,0.2
89194ada567ffff,,,,,,,,1,,0.2
89194e0956fffff,,,,,,,,1,,0.2
89194e618b7ffff,,,,,,,,1,,0.2
891951b2c53ffff,,,,,,,,1,,0.2
891953b6ea3ffff,,,,,,,,1,,0.2
89195838667ffff,,,,,,,,1,,0.2
89195839353ffff,,,,,,,,1,,0.2
89195a158cfffff,,,,,,,,1,,0.2
89195c95e47ffff,,,,,,,,1,,0.2
89195cd8e3bffff,,,,,,,,1,,0.2
89195da4903ffff,,,,,,,,1,,0.2
8919723922bffff,,,,,,,,1,,0.2
89197274687ffff,,,,,,,,1,,0.2
89194e6cb4fffff,,,,,,,,,1,0.1
89194ab1ca7ffff,,,,,,,,,1,0.1
89195b6f347ffff,,,,,,,,,1,0.1
891908b1b07ffff,,,,,,,,,1,0.1
891909a9683ffff,,,,,,,,,1,0.1
89194e6eedbffff,,,,,,,,,1,0.1
89195860a87ffff,1,,,,,,,,,1
8919587a01bffff,1,,,,,,,,,1
89195c4f47bffff,1,,,,,,,,,1
891942ce92bffff,,,,,,,,,1,0.1
891952981afffff,,,,,,,,,1,0.1
89182e6e263ffff,,,,,1,,,,,0.6
89182eb436bffff,,,,,1,,,,1,0.7
891909ae803ffff,,,,,1,,,,2,0.8
89194166d27ffff,1,,,,3,,,3,,3.4
89194aaa34fffff,,,,,1,,,,,0.6
89194ad889bffff,,,,,2,,,1,,1.4
