res_7,num_shops
87194a081ffffff,0
87194ed4cffffff,0
8719513aaffffff,0
8719519a6ffffff,0
871952050ffffff,0
87195209effffff,0
871952cc4ffffff,0
871952d06ffffff,0
871955002ffffff,0
871955058ffffff,0
871958c53ffffff,0
871959c20ffffff,0
87195b6acffffff,0
87195c4c0ffffff,0
87195c51dffffff,0
87195c62dffffff,0
87195cad3ffffff,0
87195cb99ffffff,0
87195cc25ffffff,0
87195e8adffffff,0
87195e971ffffff,0
8719732f3ffffff,0
8719485b2ffffff,0
87194a029ffffff,0
871959d81ffffff,0
87195aaa0ffffff,0
871959918ffffff,0
871805914ffffff,0
8719737a8ffffff,0
871870d02ffffff,0
87194e503ffffff,0
87195ad8dffffff,0
87195d231ffffff,0
87197202effffff,0
8719736d9ffffff,0
87197658effffff,0
871928883ffffff,0
87182150effffff,0
871825bacffffff,0
87187474cffffff,0
871908933ffffff,0
87190b06effffff,0
871943d1bffffff,0
87194840effffff,0
87194e46bffffff,0
87194eb1dffffff,0
871955662ffffff,0
87195995dffffff,0
87195c170ffffff,0
87195d728ffffff,0
87195d850ffffff,0
87195dcc8ffffff,0
87195e0edffffff,0
87195eb03ffffff,0
87194105cffffff,0
87195bc41ffffff,0
871901254ffffff,0
87195d2e5ffffff,0
87195e681ffffff,0
87192b74cffffff,0
87182a81effffff,0
87182c7a2ffffff,0
871942191ffffff,0
87194a561ffffff,0
8719566daffffff,0
871943605ffffff,0
871941029ffffff,0
87195980affffff,0
871955b66ffffff,0
87195c45affffff,0
8709a4444ffffff,0
871821924ffffff,0
871821965ffffff,0
871821c30ffffff,0
87182525cffffff,0
871825368ffffff,0
871874646ffffff,0
871941284ffffff,0
87194146effffff,0
87194175effffff,0
8719420c4ffffff,0
871942118ffffff,0
87194212bffffff,0
87194218bffffff,0
871942b23ffffff,0
87194851bffffff,0
87194e268ffffff,0
87194e551ffffff,0
87194e90dffffff,0
871950b73ffffff,0
871950d02ffffff,0
87195241cffffff,0
871952516ffffff,0
8719528adffffff,0
871954343ffffff,0
871954a98ffffff,0
871955645ffffff,0
871955658ffffff,0
87195576affffff,0
8719580eeffffff,0
871959029ffffff,0
871959922ffffff,0
87195b6f6ffffff,0
87195bb45ffffff,0
87195c000ffffff,0
87195c081ffffff,0
87195c373ffffff,0
87195cb18ffffff,0
87195dcb0ffffff,0
87197244bffffff,0
871973348ffffff,0
871874a30ffffff,0
87194a89affffff,0
87195812affffff,0
871958442ffffff,0
871958715ffffff,0
871959cdbffffff,0
87195ab95ffffff,0
87195ad93ffffff,0
871828a15ffffff,0
8719411acffffff,0
871909788ffffff,0
871953accffffff,0
8718236e8ffffff,0
87195d059ffffff,0
8719580ceffffff,0
871946564ffffff,0
87182a3b5ffffff,0
871909955ffffff,0
87192b3acffffff,0
8719424c4ffffff,0
871954d94ffffff,0
87195b782ffffff,0
871972602ffffff,0
87192bac5ffffff,0
871801304ffffff,0
871821a95ffffff,0
8718280edffffff,0
871901a02ffffff,0
871909ae4ffffff,0
87192a00affffff,0
87192b01bffffff,0
87192b62affffff,0
87192b709ffffff,0
8719420ecffffff,0
871943d05ffffff,0
871946a94ffffff,0
871948192ffffff,0
87194a56cffffff,0
87194ad5bffffff,0
87194e859ffffff,0
871955ab4ffffff,0
871958413ffffff,0
871959868ffffff,0
87195d083ffffff,0
87195ed04ffffff,0
87197238affffff,0
871972c40ffffff,0
871823b80ffffff,0
871941aabffffff,0
871959c19ffffff,0
87195b592ffffff,0
8719432c6ffffff,0
871958991ffffff,0
871972885ffffff,0
871828d46ffffff,0
871942520ffffff,0
8719433a0ffffff,0
871943585ffffff,0
871955d83ffffff,0
8719582abffffff,0
87195891bffffff,0
871973373ffffff,0
8719526cdffffff,0
8719584d2ffffff,0
87195d8d8ffffff,0
8719583b3ffffff,0
871948563ffffff,0
8719732c0ffffff,0
8718252aaffffff,0
871825388ffffff,0
871825665ffffff,0
871870992ffffff,0
87187462bffffff,0
8718746e0ffffff,0
8719400daffffff,0
871941089ffffff,0
8719411aeffffff,0
871941ad0ffffff,0
87194202bffffff,0
871942054ffffff,0
871942193ffffff,0
8719422a1ffffff,0
871942ab1ffffff,0
8719433aaffffff,0
87194a714ffffff,0
871951a0effffff,0
871953af2ffffff,0
871956450ffffff,0
871958025ffffff,0
871958146ffffff,0
871958902ffffff,0
87195a566ffffff,0
87195b9b0ffffff,0
87195c315ffffff,0
87195c610ffffff,0
87195cad5ffffff,0
87195caf3ffffff,0
87195dc83ffffff,0
8719720adffffff,0
87197334cffffff,0
871941352ffffff,0
871942299ffffff,0
871948596ffffff,0
87195c814ffffff,0
8719413aeffffff,0
87195b735ffffff,0
87182e822ffffff,0
8719094c1ffffff,0
871901209ffffff,0
8719095acffffff,0
87194175affffff,0
87194e540ffffff,0
871909455ffffff,0
87182c46dffffff,0
87190e065ffffff,0
87195d881ffffff,0
8718215a5ffffff,0
87195e732ffffff,0
8719413b6ffffff,0
871959008ffffff,0
871870d9affffff,0
871901284ffffff,0
87192b330ffffff,0
87194125effffff,0
8719423a3ffffff,0
871942c8bffffff,0
8719434ebffffff,0
87194a530ffffff,0
